date,store,machine_id,spins,bb,rb,event_frag,合算確率,BB確率,Rb確率,投入枚数(IN),払出枚数(OUT),利益(円),1Gあたり利益,稼働率,設定1差分,設定2差分,設定3差分,設定4差分,設定5差分,設定6差分,最小差分,推定設定,データ異常,設定信頼度,店舗日ID,イベント名
2626/03/18,3,6,1004,1,4,0,200.8,1004,251,3012,624,47760,47.56972112,0.09747572816,968,935,865.5,808.5,789.5,808,789.5,5,0,18.5,3_265244,通常
2626/03/18,3,7,2909,9,8,0,171.1176471,323.2222222,363.625,8727,2928,115980,39.86937092,0.2824271845,118.2847222,85.28472222,98.65972222,179.6597222,226.6597222,296.1597222,85.28472222,2,0,13.375,3_265244,通常
2626/03/18,3,8,1466,5,6,0,133.2727273,293.2,244.3333333,4398,1776,52440,35.77080491,0.1423300971,267.2,234.2,164.7,107.7,88.7,87.2,87.2,6,0,1.5,3_265244,通常
2626/03/18,3,9,576,1,1,0,288,576,576,1728,336,27840,48.33333333,0.0559223301,553.5,592.5,670,751,798,867.5,553.5,1,0,39,3_265244,通常
2626/03/18,3,10,1202,5,1,0,200.3333333,240.4,1202,3606,1296,46200,38.4359401,0.1166990291,1222.1,1255.1,1324.6,1381.6,1401.4,1470.9,1222.1,1,0,33,3_265244,通常
2626/03/18,4,1,5637,28,11,0,144.5384615,201.3214286,512.4545455,16911,7776,182700,32.41085684,0.5472815534,226.8603896,259.8603896,329.3603896,386.3603896,405.3603896,452.8603896,226.8603896,1,0,33,4_265244,通常
2626/03/18,4,2,1704,4,3,0,243.4285714,426,568,5112,1248,77280,45.35211268,0.1654368932,391.5,430.5,508,589,636,705.5,391.5,1,0,39,4_265244,通常
2626/03/18,4,3,5306,23,15,0,139.6315789,230.6956522,353.7333333,15918,6960,179160,33.76554844,0.5151456311,125.2043478,86.20434783,61.90434783,118.9043478,137.9043478,188.7956522,61.90434783,3,0,24.3,4_265244,通常
2626/03/18,4,4,3396,11,10,0,161.7142857,308.7272727,339.6,10188,3600,131760,38.79858657,0.3297087379,139.8272727,106.8272727,48.12727273,129.1272727,176.1272727,245.6272727,48.12727273,3,0,58.7,4_265244,通常
2626/03/18,4,5,6168,24,21,0,137.0666667,257,293.7142857,18504,7776,214560,34.78599222,0.5988349515,188.9285714,149.9285714,72.42857143,8.571428571,55.57142857,125.0714286,8.571428571,4,0,47,4_265244,通常
2626/03/18,4,6,622,1,0,0,622,622,,1866,240,32520,52.2829582,0.06038834951,962.5,929.5,860,803,784,736.5,736.5,6,1,47.5,4_265244,通常
2626/03/18,4,7,4175,27,9,0,115.9722222,154.6296296,463.8888889,12525,7344,103620,24.81916168,0.4053398058,200.7037037,233.7037037,303.2037037,360.2037037,379.2037037,426.7037037,200.7037037,1,0,33,4_265244,通常
2626/03/18,4,8,5420,26,22,0,112.9166667,208.4615385,246.3636364,16260,8352,158160,29.18081181,0.5262135922,308.493007,269.493007,191.993007,110.993007,63.99300699,46.58391608,46.58391608,6,0,17.40909091,4_265244,通常
2626/03/18,4,9,6773,31,21,0,130.25,218.483871,322.5238095,20319,9456,217260,32.07736601,0.6575728155,184.2304147,145.2304147,67.73041475,84.30184332,103.3018433,150.8018433,67.73041475,3,0,16.57142857,4_265244,通常
2626/03/18,4,10,1551,7,3,0,155.1,221.5714286,517,4653,1968,53700,34.62282398,0.1505825243,213.4285714,246.4285714,315.9285714,372.9285714,391.9285714,439.4285714,213.4285714,1,0,33,4_265244,通常
2026/03/19,1,1,2549,13,2,0,169.9333333,196.0769231,1274.5,7647,3312,86700,34.01333856,0.2474757282,1375.173077,1408.173077,1477.673077,1534.673077,1553.673077,1601.173077,1375.173077,1,0,33,1_46100,通常
2026/03/19,1,2,490,0,1,0,490,,490,1470,96,27480,56.08163265,0.04757281553,394.5,427.5,497,554,573,620.5,394.5,1,1,33,1_46100,通常
2026/03/19,1,3,7279,33,23,0,129.9821429,220.5757576,316.4782609,21837,10128,234180,32.17200165,0.7066990291,191.2068511,152.2068511,74.70685112,73.14163373,92.14163373,139.6416337,73.14163373,4,0,1.565217391,1_46100,通常
2026/03/19,1,4,3839,15,21,0,106.6388889,255.9333333,182.8095238,11517,5616,118020,30.74238083,0.3727184466,356.352381,317.352381,239.852381,162.7190476,143.7190476,96.21904762,96.21904762,6,0,47.5,1_46100,通常
2026/03/19,1,5,3999,16,17,0,121.1818182,249.9375,235.2352941,11997,5472,130500,32.63315829,0.3882524272,283.7095588,244.7095588,167.2095588,86.20955882,59.08455882,30.29044118,30.29044118,6,0,28.79411765,1_46100,通常
2026/03/19,1,6,2956,12,7,0,155.5789474,246.3333333,422.2857143,8868,3552,106320,35.96752368,0.2869902913,46.5952381,79.5952381,149.0952381,206.0952381,237.7619048,307.2619048,46.5952381,1,0,33,1_46100,通常
2026/03/19,1,7,4122,15,17,0,128.8125,274.8,242.4705882,12366,5232,142680,34.61426492,0.4001941748,251.5941176,218.5941176,149.0941176,92.09411765,73.09411765,66.00588235,66.00588235,6,0,7.088235294,1_46100,通常
2026/03/19,1,8,4459,17,15,0,139.34375,262.2941176,297.2666667,13377,5520,157140,35.24108545,0.4329126214,178.3058824,139.3058824,61.80588235,19.19411765,66.19411765,135.6941176,19.19411765,4,0,42.61176471,1_46100,通常
2026/03/19,1,9,4504,20,13,0,136.4848485,225.2,346.4615385,13512,6048,149280,33.14387211,0.4372815534,141.6076923,102.6076923,56.49230769,113.4923077,132.4923077,179.9923077,56.49230769,3,0,46.11538462,1_46100,通常
2026/03/19,1,10,1809,1,5,0,301.5,1809,361.8,5427,720,94140,52.039801,0.175631068,1606.8,1573.8,1581.7,1662.7,1709.7,1779.2,1573.8,2,0,7.9,1_46100,通常
2026/03/19,2,1,1830,15,5,0,91.5,122,366,5490,4080,28200,15.40983607,0.1776699029,215.5,176.5,189,246,265,312.5,176.5,2,0,12.5,2_46100,通常
2026/03/19,2,2,4587,24,16,0,114.675,191.125,286.6875,13761,7296,129300,28.1883584,0.4453398058,265.34375,226.34375,148.84375,67.84375,76.90625,124.40625,67.84375,4,0,9.0625,2_46100,通常
2026/03/19,2,3,1198,3,4,0,171.1428571,399.3333333,299.5,3594,1104,49800,41.56928214,0.1163106796,290.5833333,257.5833333,188.0833333,159.5833333,206.5833333,276.0833333,159.5833333,4,0,28.5,2_46100,通常
2026/03/19,2,4,3670,18,19,0,99.18918919,203.8888889,193.1578947,11010,6144,97320,26.51771117,0.3563106796,392.874269,353.874269,276.374269,195.374269,148.374269,78.87426901,78.87426901,6,0,69.5,2_46100,通常
